,URL,Division,Location,School,Logo,Conference,Nickname,Colors
93,https://www.ncaa.com/schools/blackburn,Division III,"Carlinville, IL",Blackburn College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/blackburn.svg,St. Louis Intercollegiate Athletic,Battlin' Beavers,Scarlet & Black
94,https://www.ncaa.com/schools/bloomfield,Division II,"Bloomfield, NJ",Bloomfield College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bloomfield.svg,Central Atlantic Collegiate,Bears,Maroon & Gold
95,https://www.ncaa.com/schools/bloomsburg,Division II,"Bloomsburg, PA",Bloomsburg University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bloomsburg.svg,Pennsylvania State Athletic,Huskies,Maroon & Gold
96,https://www.ncaa.com/schools/bluefield-st,Division II,"Bluefield, WV",Bluefield State College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bluefield-st.svg,NON-NCAA ORG,Big Blues,Blue & Gold
97,https://www.ncaa.com/schools/bluffton,Division III,"Bluffton, OH",Bluffton University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bluffton.svg,Heartland Collegiate Athletic,Beavers,Royal Purple and White
98,https://www.ncaa.com/schools/boise-st,Division I,"Boise, ID",Boise State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/boise-st.svg,Mountain West,Broncos,Blue & Orange
99,https://www.ncaa.com/schools/boston-college,Division I,"Chestnut Hill, MA",Boston College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/boston-college.svg,Atlantic Coast,Eagles,Maroon & Gold
100,https://www.ncaa.com/schools/boston-u,Division I,"Boston, MA",Boston University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/boston-u.svg,Patriot League,Terriers,Scarlet & White
101,https://www.ncaa.com/schools/bowdoin,Division III,"Brunswick, ME",Bowdoin College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bowdoin.svg,New England Small College Athletic,Polar Bears,White
102,https://www.ncaa.com/schools/bowie-st,Division II,"Bowie, MD",Bowie State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bowie-st.svg,Central Intercollegiate Athletic Association,Bulldogs,Black & Gold
103,https://www.ncaa.com/schools/bowling-green,Division I,"Bowling Green, OH",Bowling Green State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bowling-green.svg,Mid-American,Falcons,Orange & Brown
104,https://www.ncaa.com/schools/bradley,Division I,"Peoria, IL",Bradley University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bradley.svg,Missouri Valley,Braves,Red & White
105,https://www.ncaa.com/schools/brandeis,Division III,"Waltham, MA",Brandeis University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/brandeis.svg,University Athletic Association,Judges,Blue & White
106,https://www.ncaa.com/schools/brevard,Division III,"Brevard, NC",Brevard College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/brevard.svg,USA South Athletic,Tornados,Royal Blue and White
107,https://www.ncaa.com/schools/bridgeport,Division II,"Bridgeport, CT",University of Bridgeport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bridgeport.svg,East Coast,Purple Knights,Purple & White
108,https://www.ncaa.com/schools/bridgewater-st,Division III,"Bridgewater, MA",Bridgewater State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bridgewater-st.svg,Massachusetts State Collegiate Athletic,Bears,Crimson & White
109,https://www.ncaa.com/schools/bridgewater-va,Division III,"Bridgewater, VA",Bridgewater College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bridgewater-va.svg,Old Dominion Athletic Conf.,Eagles,Cardinal & Vegas Gold
110,https://www.ncaa.com/schools/brockport,Division III,"Brockport, NY",College at Brockport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/brockport.svg,State University of New York Athletic,Golden Eagles,Green & Gold
111,https://www.ncaa.com/schools/brooklyn,Division III,"Brooklyn, NY",Brooklyn College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/brooklyn.svg,City University of New York Athletic,Bulldogs,Maroon & Gold
112,https://www.ncaa.com/schools/brown,Division I,"Providence, RI",Brown University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/brown.svg,The Ivy League,Bears,"Brown, Red & White"
113,https://www.ncaa.com/schools/bryant,Division I,"Smithfield, RI",Bryant University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bryant.svg,Northeast,Bulldogs,Black & Gold
114,https://www.ncaa.com/schools/bryn-athyn,Division III,"Bryn Athyn, PA",Bryn Athyn College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bryn-athyn.svg,Colonial States Athletic,Lions,Red and White
115,https://www.ncaa.com/schools/bryn-mawr,Division III,"Bryn Mawr, PA",Bryn Mawr College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bryn-mawr.svg,,,Yellow and White
116,https://www.ncaa.com/schools/bucknell,Division I,"Lewisburg, PA",Bucknell University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bucknell.svg,Patriot League,Bison,Orange & Blue
117,https://www.ncaa.com/schools/buena-vista,Division III,"Storm Lake, IA",Buena Vista University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/buena-vista.svg,American Rivers,Beavers,Navy Blue & Gold
118,https://www.ncaa.com/schools/buffalo,Division I,"Buffalo, NY",University at Buffalo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/buffalo.svg,Mid-American,Bulls,Royal Blue & White
119,https://www.ncaa.com/schools/buffalo-st,Division III,"Buffalo, NY",Buffalo State College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/buffalo-st.svg,State University of New York Athletic,Bengals,Orange & Black
120,https://www.ncaa.com/schools/butler,Division I,"Indianapolis, IN",Butler University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/butler.svg,Big East,Bulldogs,Blue & White
121,https://www.ncaa.com/schools/byu,Division I,"Provo, UT",Brigham Young University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/byu.svg,West Coast,Cougars,Blue and White
122,https://www.ncaa.com/schools/byu-hawaii,"Laie, HI",,BYU-Hawaii,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/byu-hawaii.svg,Pacific West,Seasiders,"Crimson, Gold & Black"
123,https://www.ncaa.com/schools/cabrini,Division III,"Radnor, PA",Cabrini University ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/cabrini.svg,Atlantic East,Cavaliers,Blue & White
124,https://www.ncaa.com/schools/cairn,Division III,"Langhorne, PA",Cairn University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/cairn.svg,Colonial States Athletic,Highlanders,Cardinal & Black & White
