,school,team,city,state_province,primary_conference,ncaa,team_page
173,Saint Louis University,Billikens,Saint Louis,MO,Atlantic 10 Conference,1,/wiki/Saint_Louis_Billikens
174,Saint Mary's College of California,Gaels,Moraga,CA,West Coast Conference,1,/wiki/Saint_Mary%27s_Gaels
175,Saint Peter's University,Peacocks,Jersey City,NJ,Metro Atlantic Athletic Conference,1,/wiki/Saint_Peter%27s_Peacocks
176,Samford University,Bulldogs,Homewood,AL,Southern Conference,1,/wiki/Yale_Bulldogs
177,Sam Houston State University,Bearkats,Huntsvile,TX,Western Athletic Conference,1,/wiki/Sam_Houston_State_Bearkats
178,San Diego State University,Aztecs,San Diego,CA,Mountain West Conference,1,/wiki/San_Diego_State_Aztecs
179,San Jose State University,Spartans,San Jose,CA,Mountain West Conference,1,/wiki/USC_Upstate_Spartans
180,Santa Clara University,Broncos,Santa Clara,CA,West Coast Conference,1,/wiki/Western_Michigan_Broncos
181,Seattle University,Redhawks,Seattle,WA,Western Athletic Conference,1,/wiki/Southeast_Missouri_State_Redhawks
182,Seton Hall University,Pirates,South Orange,NJ,Big East Conference,1,/wiki/Seton_Hall_Pirates
183,Siena College,Saints,Loudonville,NY,Metro Atlantic Athletic Conference,1,/wiki/Siena_Saints
184,South Carolina State University,Bulldogs,Orangeburg,SC,Mid-Eastern Athletic Conference,1,/wiki/Yale_Bulldogs
185,South Dakota State University,Jackrabbits,Brookings,SD,Summit League,1,/wiki/South_Dakota_State_Jackrabbits
186,Southeastern Louisiana University,Lions,Hammond,LA,Southland Conference,1,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
187,Southeast Missouri State University,Redhawks,Cape Girardeau,MO,Ohio Valley Conference,1,/wiki/Southeast_Missouri_State_Redhawks
188,Southern University and A&M College,Jaguars,Baton Rouge,LA,Southwestern Athletic Conference,1,/wiki/South_Alabama_Jaguars
189,Southern Illinois University Carbondale,Salukis,Carbondale,IL,Missouri Valley Conference,1,/wiki/Southern_Illinois_Salukis
190,Southern Illinois University Edwardsville,Cougars,Edwardsville,IL,Ohio Valley Conference,1,/wiki/Washington_State_Cougars
191,Southern Methodist University,Mustangs,University Park,TX,American Athletic Conference,1,/wiki/SMU_Mustangs
192,Southern Utah University,Thunderbirds,Cedar City,UT,Western Athletic Conference,1,/wiki/Southern_Utah_Thunderbirds
193,State University of Iowa,Hawkeyes,Iowa City,IA,Big Ten Conference,1,/wiki/Iowa_Hawkeyes
194,State University of New York at Albany,Great Danes,Albany,NY,America East Conference,1,/wiki/Albany_Great_Danes
195,State University of New York at Binghamton,Bearcats,Vestal,NY,America East Conference,1,/wiki/Cincinnati_Bearcats
